0.000,0.017,0.017,0.017,0.017

lap,curlap_birth,alllaps_birth,curlap_delete,alllaps_delete,curlap_global,alllaps_global,curlap_io,alllaps_io,curlap_local,alllaps_local,curlap_merge,alllaps_merge,curlap_total,alllaps_total
1.000,0.193,0.193,0.001,0.001,0.539,0.539,0.044,0.061,0.440,0.440,0.000,0.000,1.217,1.234

2.000,0.185,0.377,0.001,0.002,0.531,1.071,0.015,0.077,0.303,0.743,0.001,0.001,1.037,2.271

3.000,0.230,0.608,0.001,0.003,0.710,1.781,0.000,0.077,0.345,1.088,0.001,0.002,1.288,3.559

4.000,0.504,1.112,4.819,4.822,0.853,2.634,0.010,0.087,0.453,1.541,0.007,0.009,6.646,10.205

5.000,0.409,1.522,3.113,7.935,0.747,3.381,0.010,0.097,0.347,1.888,0.006,0.015,4.632,14.837

6.000,0.294,1.815,2.907,10.841,0.460,3.840,0.000,0.097,0.259,2.147,0.255,0.270,4.174,19.011

7.000,0.218,2.034,1.217,12.058,0.350,4.190,0.000,0.097,0.179,2.326,0.034,0.305,1.998,21.009

8.000,0.195,2.228,1.299,13.357,0.343,4.533,0.009,0.106,0.147,2.473,0.095,0.400,2.088,23.097

9.000,0.198,2.427,1.223,14.580,0.311,4.844,0.000,0.106,0.141,2.614,0.002,0.402,1.875,24.972

10.000,0.202,2.628,0.774,15.353,0.318,5.162,0.010,0.116,0.163,2.777,0.001,0.403,1.467,26.439

11.000,20.126,22.754,0.002,15.355,0.505,5.667,0.000,0.116,0.179,2.955,0.001,0.404,20.813,47.252

12.000,0.243,22.997,1.293,16.648,0.369,6.036,0.000,0.116,0.187,3.143,0.131,0.535,2.224,49.475

13.000,0.191,23.189,0.866,17.515,0.370,6.406,0.000,0.116,0.160,3.303,0.001,0.536,1.589,51.065

14.000,0.187,23.376,1.205,18.720,0.262,6.668,0.000,0.116,0.191,3.494,0.096,0.633,1.941,53.006

15.000,0.199,23.575,0.950,19.670,0.342,7.011,0.009,0.125,0.198,3.692,0.001,0.634,1.700,54.706

16.000,0.195,23.770,0.964,20.634,0.345,7.355,0.000,0.125,0.166,3.858,0.001,0.635,1.670,56.376

17.000,22.301,46.070,0.002,20.636,0.398,7.753,0.000,0.125,0.132,3.989,0.002,0.637,22.834,79.210

18.000,0.289,46.360,1.626,22.262,0.458,8.211,0.000,0.125,0.274,4.263,0.241,0.878,2.889,82.099

19.000,0.218,46.578,1.059,23.321,0.385,8.596,0.000,0.125,0.191,4.454,0.001,0.879,1.854,83.953

20.000,0.245,46.823,1.215,24.536,0.288,8.884,0.010,0.135,0.165,4.619,0.096,0.975,2.018,85.971

21.000,0.229,47.051,1.285,25.821,0.417,9.302,0.000,0.135,0.153,4.772,0.001,0.976,2.086,88.057

22.000,0.253,47.305,1.372,27.193,0.304,9.605,0.000,0.135,0.211,4.983,0.002,0.978,2.142,90.199

23.000,0.250,47.555,1.273,28.466,0.331,9.937,0.000,0.135,0.173,5.156,0.001,0.979,2.029,92.228

24.000,0.274,47.829,1.613,30.079,0.427,10.364,0.000,0.135,0.264,5.420,0.240,1.219,2.819,95.046

25.000,0.259,48.088,1.074,31.153,0.446,10.810,0.010,0.145,0.260,5.679,0.001,1.220,2.050,97.096

26.000,0.284,48.372,1.884,33.037,0.452,11.262,0.000,0.145,0.245,5.924,0.104,1.324,2.968,100.064

27.000,0.269,48.640,1.235,34.272,0.542,11.804,0.000,0.145,0.221,6.145,0.001,1.325,2.267,102.332

28.000,0.294,48.934,1.208,35.480,0.419,12.223,0.000,0.145,0.214,6.359,0.001,1.326,2.136,104.468

29.000,0.253,49.187,1.243,36.723,0.348,12.571,0.000,0.145,0.244,6.603,0.001,1.327,2.089,106.557

