lap,curlap_allocsummary,alllaps_allocsummary,curlap_allocupdate,alllaps_allocupdate,curlap_obssummary,alllaps_obssummary,curlap_obsupdate,alllaps_obsupdate,curlap_total,alllaps_total
1.000,0.007,0.007,0.051,0.051,0.041,0.041,0.340,0.340,0.440,0.440

2.000,0.007,0.014,0.011,0.062,0.029,0.070,0.257,0.597,0.303,0.743

3.000,0.008,0.022,0.010,0.072,0.026,0.096,0.301,0.898,0.345,1.088

4.000,0.019,0.041,0.010,0.082,0.028,0.124,0.396,1.294,0.453,1.541

5.000,0.016,0.057,0.009,0.091,0.026,0.150,0.296,1.590,0.347,1.888

6.000,0.014,0.071,0.009,0.100,0.018,0.168,0.217,1.807,0.259,2.147

7.000,0.007,0.078,0.007,0.107,0.017,0.185,0.148,1.956,0.179,2.326

8.000,0.007,0.085,0.009,0.117,0.013,0.198,0.118,2.073,0.147,2.473

9.000,0.007,0.092,0.004,0.121,0.013,0.211,0.116,2.189,0.141,2.614

10.000,0.003,0.095,0.009,0.130,0.015,0.227,0.135,2.325,0.163,2.777

11.000,0.004,0.099,0.009,0.139,0.012,0.239,0.154,2.479,0.179,2.955

12.000,0.008,0.107,0.006,0.145,0.012,0.251,0.161,2.640,0.187,3.143

13.000,0.002,0.110,0.009,0.154,0.014,0.265,0.135,2.774,0.160,3.303

14.000,0.010,0.120,0.008,0.162,0.011,0.276,0.162,2.936,0.191,3.494

15.000,0.006,0.125,0.005,0.167,0.014,0.290,0.173,3.110,0.198,3.692

16.000,0.006,0.131,0.006,0.173,0.014,0.303,0.140,3.250,0.166,3.858

17.000,0.002,0.133,0.009,0.182,0.012,0.315,0.109,3.358,0.132,3.989

18.000,0.013,0.147,0.010,0.192,0.016,0.332,0.235,3.593,0.274,4.263

19.000,0.005,0.152,0.010,0.202,0.016,0.348,0.160,3.753,0.191,4.454

20.000,0.007,0.158,0.010,0.212,0.015,0.363,0.133,3.885,0.165,4.619

21.000,0.005,0.163,0.005,0.217,0.015,0.378,0.128,4.014,0.153,4.772

22.000,0.005,0.169,0.008,0.225,0.014,0.392,0.183,4.197,0.211,4.983

23.000,0.004,0.173,0.010,0.235,0.016,0.408,0.143,4.340,0.173,5.156

24.000,0.012,0.185,0.010,0.245,0.023,0.431,0.219,4.559,0.264,5.420

25.000,0.005,0.189,0.010,0.255,0.015,0.446,0.229,4.789,0.260,5.679

26.000,0.009,0.199,0.010,0.266,0.016,0.462,0.209,4.998,0.245,5.924

27.000,0.003,0.202,0.010,0.275,0.016,0.478,0.192,5.190,0.221,6.145

28.000,0.003,0.205,0.010,0.286,0.018,0.496,0.183,5.373,0.214,6.359

29.000,0.003,0.208,0.009,0.295,0.018,0.514,0.214,5.587,0.244,6.603

